CHISQcheck_ratioPRF

Command line: -o HiQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 500 -q 500

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.886   5.68974      16.4251         0.999949
    0.888   5.75145      16.4623         0.99995
    0.89    5.75196      16.4995         0.999951
    0.892   5.78155      16.5366         0.999952
    0.894   5.81001      16.5738         0.999953
    0.896   5.83201      16.6109         0.999954
    0.898   5.90728      16.6481         0.999955
    0.9     5.92013      16.6853         0.999956
    0.902   5.95906      16.7224         0.999957
    0.904   6.01553      16.7596         0.999958
    0.906   6.04337      16.7968         0.999958
    0.908   6.18642      16.8339         0.999959
    0.91    6.19061      16.8711         0.99996
    0.912   6.26519      16.9082         0.999961
    0.914   6.27523      16.9454         0.999962
    0.916   6.33377      16.9826         0.999962
    0.918   6.40729      17.0197         0.999963
    0.92    6.49199      17.0569         0.999964
    0.922   6.50082      17.094          0.999964
    0.924   6.50614      17.1312         0.999965
    0.926   6.52172      17.1684         0.999966
    0.928   6.52463      17.2055         0.999966
    0.93    6.66468      17.2427         0.999967
    0.932   6.90045      17.2798         0.999968
    0.934   7.00734      17.317          0.999968
    0.936   7.03163      17.3542         0.999969
    0.938   7.115        17.3913         0.99997
    0.94    7.24794      17.4285         0.99997
    0.942   7.30137      17.4657         0.999971
    0.944   7.49106      17.5028         0.999971
    0.946   7.62755      17.54           0.999972
    0.948   7.71539      17.5771         0.999972
    0.95    7.81057      17.6143         0.999973
    0.952   7.89224      17.6515         0.999973
    0.954   8.10778      17.6886         0.999974
    0.956   8.13479      17.7258         0.999974
    0.958   8.13608      17.7629         0.999975
    0.96    8.41227      17.8001         0.999975
    0.962   8.77042      17.8373         0.999976
    0.964   8.86467      17.8744         0.999976
    0.966   9.23268      17.9116         0.999977
    0.968   9.24261      17.9487         0.999977
    0.97    9.26695      17.9859         0.999978
    0.972   9.28822      18.0231         0.999978
    0.974   9.37256      18.0602         0.999979
    0.976   9.3826       18.0974         0.999979
    0.978   9.4749       18.1345         0.999979
    0.98   10.1081       18.1717         0.99998
    0.982  10.4186       18.2089         0.99998
    0.984  10.4823       18.246          0.999981
    0.986  11.7363       18.2832         0.999981
    0.988  12.1543       18.3204         0.999981
    0.99   12.5175       18.3575         0.999982
    0.992  12.7101       18.3947         0.999982
    0.994  13.6435       18.4318         0.999982
    0.996  14.2506       18.469          0.999983
    0.998  17.4409       18.5062         0.999983
    1      18.5433       18.5433         0.999983
